Data;13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %
12/2006;55,48
01/2007;56,17
02/2007;56,90
03/2007;57,24
04/2007;57,17
05/2007;57,91
06/2007;58,23
07/2007;58,32
08/2007;58,46
09/2007;57,88
10/2007;57,49
11/2007;57,26
12/2007;56,72
01/2008;57,51
02/2008;57,04
03/2008;57,09
04/2008;56,52
05/2008;55,82
06/2008;55,60
07/2008;55,53
08/2008;54,95
09/2008;54,83
10/2008;55,05
11/2008;54,64
12/2008;55,98
01/2009;56,87
02/2009;57,18
03/2009;57,47
04/2009;56,80
05/2009;57,07
06/2009;58,34
07/2009;59,68
08/2009;60,77
09/2009;60,80
10/2009;61,00
11/2009;60,22
12/2009;59,21
01/2010;59,76
02/2010;59,03
03/2010;56,24
04/2010;56,05
05/2010;55,96
06/2010;55,78
07/2010;55,53
08/2010;54,98
09/2010;54,89
10/2010;55,07
11/2010;54,65
12/2010;51,77
01/2011;52,40
02/2011;52,37
03/2011;52,61
04/2011;52,61
05/2011;52,22
06/2011;52,35
07/2011;52,52
08/2011;52,29
09/2011;52,11
10/2011;51,70
11/2011;51,76
12/2011;51,27
01/2012;51,83
02/2012;52,22
03/2012;52,72
04/2012;53,22
05/2012;53,27
06/2012;53,42
07/2012;53,60
08/2012;53,33
09/2012;54,05
10/2012;54,52
11/2012;54,65
12/2012;53,67
01/2013;53,98
02/2013;54,03
03/2013;54,05
04/2013;53,78
05/2013;53,92
06/2013;53,61
07/2013;53,70
08/2013;53,44
09/2013;52,95
10/2013;53,10
11/2013;52,73
12/2013;51,54
01/2014;52,63
02/2014;51,84
03/2014;51,79
04/2014;52,00
05/2014;52,18
06/2014;52,75
07/2014;53,17
08/2014;53,81
09/2014;55,11
10/2014;55,43
11/2014;56,01
12/2014;56,28
01/2015;57,16
02/2015;58,28
03/2015;59,49
04/2015;59,11
05/2015;60,20
06/2015;60,75
07/2015;62,17
08/2015;62,97
09/2015;63,65
10/2015;63,93
11/2015;64,28
12/2015;65,50
01/2016;66,51
02/2016;66,66
03/2016;66,33
04/2016;66,62
05/2016;67,58
06/2016;67,51
07/2016;68,70
08/2016;69,33
09/2016;69,98
10/2016;69,78
11/2016;70,84
12/2016;69,84
01/2017;69,81
02/2017;70,39
03/2017;71,24
04/2017;71,38
05/2017;72,33
06/2017;72,74
07/2017;73,18
08/2017;73,62
09/2017;73,71
10/2017;74,12
11/2017;74,03
12/2017;73,72
01/2018;74,04
02/2018;74,51
03/2018;74,60
04/2018;74,96
05/2018;76,12
06/2018;76,13
07/2018;75,95
08/2018;76,01
09/2018;75,99
10/2018;75,29
11/2018;75,68
12/2018;75,27
01/2019;75,43
02/2019;75,51
03/2019;76,71
04/2019;77,12
05/2019;76,55
06/2019;76,67
07/2019;76,83
08/2019;77,56
09/2019;76,60
10/2019;75,79
11/2019;76,20
12/2019;74,44
01/2020;74,75
02/2020;75,15
03/2020;76,78
04/2020;78,04
05/2020;79,96
06/2020;82,87
07/2020;83,50
08/2020;85,83
09/2020;87,42
10/2020;87,67
11/2020;86,97
12/2020;86,94
01/2021;86,91
02/2021;86,87
03/2021;85,10
04/2021;82,62
05/2021;81,44
06/2021;80,60
07/2021;80,25
08/2021;79,64
09/2021;79,62
10/2021;79,52
11/2021;78,22
12/2021;77,31
01/2022;77,00
02/2022;76,92
03/2022;76,40
04/2022;76,33
05/2022;75,68
06/2022;75,61
07/2022;75,24
08/2022;74,56
09/2022;74,15
10/2022;73,70
11/2022;72,95
12/2022;71,68
01/2023;71,38
02/2023;71,77
03/2023;71,54
04/2023;71,57
05/2023;72,11
06/2023;71,97
07/2023;72,48
08/2023;72,89
09/2023;73,01
10/2023;73,32
11/2023;73,32
12/2023;73,83
01/2024;74,48
02/2024;74,81
03/2024;75,02
04/2024;75,15
05/2024;75,67
06/2024;76,68
07/2024;77,21
08/2024;77,35
09/2024;77,09
10/2024;77,38
11/2024;77,50
12/2024;76,27
01/2025;75,47
02/2025;75,77
03/2025;75,55
04/2025;75,63
05/2025;75,75
06/2025;76,30
07/2025;77,17
08/2025;77,30
09/2025;77,84
10/2025;78,33
11/2025;79,01
12/2025;78,66
01/2026;78,75
