Tipo Titulo,Data Vencimento,Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Prazo_anos
Tesouro IPCA+,2015-05-15,2005-07-18,"8,74","8,80","675,19","671,56","671,25",9.82340862422998
Tesouro IPCA+,2024-08-15,2005-07-18,"8,81","8,89","308,19","303,91","303,77",19.077344284736483
Tesouro IPCA+,2015-05-15,2005-07-19,"8,74","8,80","675,51","671,87","671,56",9.820670773442847
Tesouro IPCA+,2024-08-15,2005-07-19,"8,81","8,89","308,33","304,05","303,91",19.07460643394935
Tesouro IPCA+,2015-05-15,2005-07-20,"8,73","8,79","676,43","672,79","672,47",9.817932922655714
Tesouro IPCA+,2024-08-15,2005-07-20,"8,82","8,90","307,93","303,66","303,52",19.071868583162217
Tesouro IPCA+,2015-05-15,2005-07-21,"8,73","8,79","676,74","673,10","672,79",9.815195071868583
Tesouro IPCA+,2024-08-15,2005-07-21,"8,82","8,90","308,08","303,81","303,66",19.069130732375086
Tesouro IPCA+,2015-05-15,2005-07-22,"8,73","8,79","677,22","673,58","673,10",9.81245722108145
Tesouro IPCA+,2024-08-15,2005-07-22,"8,82","8,90","308,30","304,03","303,81",19.066392881587955
Tesouro IPCA+,2015-05-15,2005-07-25,"8,73","8,79","677,22","673,58","673,30",9.804243668720055
Tesouro IPCA+,2024-08-15,2005-07-25,"8,82","8,90","308,30","304,03","303,90",19.058179329226558
Tesouro IPCA+,2015-05-15,2005-07-26,"8,73","8,79","677,51","673,87","673,58",9.801505817932922
Tesouro IPCA+,2024-08-15,2005-07-26,"8,82","8,90","308,43","304,16","304,03",19.055441478439427
Tesouro IPCA+,2015-05-15,2005-07-27,"8,73","8,79","677,79","674,15","673,87",9.79876796714579
Tesouro IPCA+,2024-08-15,2005-07-27,"8,82","8,90","308,56","304,29","304,16",19.052703627652292
Tesouro IPCA+,2015-05-15,2005-07-28,"8,73","8,79","678,08","674,44","674,15",9.796030116358658
Tesouro IPCA+,2024-08-15,2005-07-28,"8,82","8,90","308,69","304,42","304,29",19.04996577686516
Tesouro IPCA+,2015-05-15,2005-07-29,"8,73","8,79","678,48","674,84","674,44",9.793292265571527
Tesouro IPCA+,2024-08-15,2005-07-29,"8,82","8,90","308,88","304,60","304,42",19.04722792607803
Tesouro IPCA+,2015-05-15,2005-08-01,"8,73","8,79","678,76","675,12","674,84",9.78507871321013
Tesouro IPCA+,2024-08-15,2005-08-01,"8,82","8,90","309,00","304,73","304,60",19.039014373716633
